,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
41441,51889,10.63,10.73,10.6,10.73,676700.0,9.493274000000001,2013-11-21,RBS,,
41442,51890,10.7,10.72,10.64,10.7,510000.0,9.466732,2013-11-22,RBS,-0.00279587421578675,-0.0027958993476235898
41443,51891,10.71,10.73,10.62,10.66,600800.0,9.431341999999999,2013-11-25,RBS,-0.0037383544817788396,-0.0037383177570092796
41444,51892,10.63,10.89,10.61,10.83,2410700.0,9.581748,2013-11-26,RBS,0.0159474653766132,0.0159474671669793
41445,51893,10.76,10.83,10.73,10.79,1473900.0,9.546358,2013-11-27,RBS,-0.00369348056325414,-0.00369344413665751
41446,51894,10.79,10.79,10.66,10.7,865700.0,9.466732,2013-11-29,RBS,-0.008340981974486959,-0.00834105653382755
41447,51895,10.67,10.88,10.66,10.73,558700.0,9.493274000000001,2013-12-02,RBS,0.0028037130447973197,0.00280373831775704
41448,51896,10.85,10.92,10.77,10.83,797500.0,9.581748,2013-12-03,RBS,0.00931965094444753,0.00931966449207833
41449,51897,10.81,10.9,10.73,10.83,569600.0,9.581748,2013-12-04,RBS,0.0,0.0
41450,51898,10.83,10.85,10.75,10.76,468400.0,9.519816,2013-12-05,RBS,-0.00646353880314932,-0.00646352723915056
41451,51899,10.92,10.98,10.88,10.96,612400.0,9.696764,2013-12-06,RBS,0.01858733404091,0.0185873605947957
41452,51900,11.0,11.05,10.96,11.04,769500.0,9.767544000000001,2013-12-09,RBS,0.007299342337299341,0.00729927007299258
41453,51901,11.04,11.1,11.01,11.06,438600.0,9.785238,2013-12-10,RBS,0.0018115096282136397,0.00181159420289867
41454,51902,10.76,10.76,10.58,10.58,956400.0,9.360562,2013-12-11,RBS,-0.0433996597732217,-0.0433996383363472
41455,51903,10.41,10.45,10.31,10.39,817400.0,9.192461999999999,2013-12-12,RBS,-0.0179583234425453,-0.0179584120982986
41456,51904,10.31,10.38,10.22,10.35,786300.0,9.157073,2013-12-13,RBS,-0.0038497847475464897,-0.0038498556304139603
41457,51905,10.5,10.57,10.42,10.46,468600.0,9.254395,2013-12-16,RBS,0.0106280685979023,0.0106280193236716
41458,51906,10.39,10.41,10.34,10.37,386200.0,9.174767,2013-12-17,RBS,-0.00860434420618539,-0.00860420650095617
41459,51907,10.52,10.68,10.37,10.67,886400.0,9.44019,2013-12-18,RBS,0.0289296720014798,0.0289296046287368
41460,51908,10.66,10.7,10.62,10.7,766100.0,9.466732,2013-12-19,RBS,0.0028115959530477,0.00281162136832225
41461,51909,10.73,10.77,10.66,10.73,490500.0,9.493274000000001,2013-12-20,RBS,0.0028037130447973197,0.00280373831775704
41462,51910,10.77,10.83,10.75,10.8,624300.0,9.555206,2013-12-23,RBS,0.0065237767286607795,0.00652376514445474
41463,51911,10.87,11.0,10.87,10.98,435700.0,9.714459,2013-12-24,RBS,0.0166666213161704,0.0166666666666666
41464,51912,10.99,11.08,10.97,11.04,380100.0,9.767544000000001,2013-12-26,RBS,0.0054645348752822,0.0054644808743167204
41465,51913,11.22,11.25,11.17,11.22,674700.0,9.926798,2013-12-27,RBS,0.0163044056929766,0.0163043478260871
41466,51914,11.21,11.28,11.15,11.26,884900.0,9.962187,2013-12-30,RBS,0.00356499648728636,0.0035650623885916705
41467,51915,11.21,11.35,11.21,11.33,612400.0,10.024119,2013-12-31,RBS,0.00621670723506806,0.00621669626998234
41468,51916,11.24,11.26,11.11,11.16,635400.0,9.873713,2014-01-02,RBS,-0.0150044108614433,-0.0150044130626655
41469,51917,11.31,11.34,11.25,11.28,423500.0,9.979880999999999,2014-01-03,RBS,0.0107525912491075,0.010752688172043001
