,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
38634,47371,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-21,REL,,
38635,47372,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-22,REL,0.0,0.0
38636,47373,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-25,REL,0.0,0.0
38637,47374,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-26,REL,0.0,0.0
38638,47375,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-27,REL,0.0,0.0
38639,47376,0.01,0.01,0.01,0.01,0.0,0.01,2013-11-29,REL,0.0,0.0
38640,47377,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-02,REL,0.0,0.0
38641,47378,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-03,REL,0.0,0.0
38642,47379,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-04,REL,0.0,0.0
38643,47380,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-05,REL,0.0,0.0
38644,47381,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-06,REL,0.0,0.0
38645,47382,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-09,REL,0.0,0.0
38646,47383,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-10,REL,0.0,0.0
38647,47384,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-11,REL,0.0,0.0
38648,47385,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-12,REL,0.0,0.0
38649,47386,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-13,REL,0.0,0.0
38650,47387,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-16,REL,0.0,0.0
38651,47388,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-17,REL,0.0,0.0
38652,47389,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-18,REL,0.0,0.0
38653,47390,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-19,REL,0.0,0.0
38654,47391,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-20,REL,0.0,0.0
38655,47392,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-23,REL,0.0,0.0
38656,47393,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-24,REL,0.0,0.0
38657,47394,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-26,REL,0.0,0.0
38658,47395,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-27,REL,0.0,0.0
38659,47396,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-30,REL,0.0,0.0
38660,47397,0.01,0.01,0.01,0.01,0.0,0.01,2013-12-31,REL,0.0,0.0
38661,47398,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-02,REL,0.0,0.0
38662,47399,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-03,REL,0.0,0.0
38663,47400,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-06,REL,0.0,0.0
38664,47401,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-07,REL,0.0,0.0
38665,47402,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-08,REL,0.0,0.0
38666,47403,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-09,REL,0.0,0.0
38667,47404,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-10,REL,0.0,0.0
38668,47405,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-13,REL,0.0,0.0
38669,47406,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-14,REL,0.0,0.0
38670,47407,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-15,REL,0.0,0.0
38671,47408,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-16,REL,0.0,0.0
38672,47409,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-17,REL,0.0,0.0
38673,47410,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-21,REL,0.0,0.0
38674,47411,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-22,REL,0.0,0.0
38675,47412,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-23,REL,0.0,0.0
38676,47413,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-24,REL,0.0,0.0
38677,47414,0.01,0.01,0.01,0.01,0.0,0.01,2014-01-27,REL,0.0,0.0
