,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
48816,63350,17.0,17.0,17.0,17.0,0.0,17.0,2013-11-21,SLA,,
48817,63351,51.68,52.34,50.650002,51.68,19800.0,51.68,2013-11-22,SLA,2.04,2.04
48818,63352,51.900002,52.380001,51.299999,51.900002,1584.0,51.900002,2013-11-25,SLA,0.00425700464396295,0.00425700464396295
48819,63353,50.450001,51.91,50.450001,50.450001,1289.0,50.450001,2013-11-26,SLA,-0.0279383611584446,-0.0279383611584446
48820,63354,17.0,17.0,17.0,17.0,0.0,17.0,2013-11-27,SLA,-0.66303271232839,-0.66303271232839
48821,63355,17.0,17.0,17.0,17.0,0.0,17.0,2013-11-29,SLA,0.0,0.0
48822,63356,51.57,52.27,51.560001,51.57,31862.0,51.57,2013-12-02,SLA,2.03352941176471,2.03352941176471
48823,63357,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-03,SLA,-0.6703509792515029,-0.6703509792515029
48824,63358,49.950001,49.950001,49.950001,49.950001,0.0,49.950001,2013-12-04,SLA,1.9382353529411798,1.9382353529411798
48825,63359,50.150002,50.5,49.099998,50.150002,1500.0,50.150002,2013-12-05,SLA,0.00400402394386346,0.00400402394386346
48826,63360,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-06,SLA,-0.661016962671308,-0.661016962671308
48827,63361,51.099998,51.689999,50.400002,51.099998,3600.0,51.099998,2013-12-09,SLA,2.00588223529412,2.00588223529412
48828,63362,51.099998,51.099998,51.099998,51.099998,0.0,51.099998,2013-12-10,SLA,0.0,0.0
48829,63363,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-11,SLA,-0.667318969366692,-0.667318969366692
48830,63364,49.599998,50.439999,48.360001000000004,49.599998,35595.0,49.599998,2013-12-12,SLA,1.9176469411764698,1.9176469411764698
48831,63365,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-13,SLA,-0.657258050695889,-0.657258050695889
48832,63366,49.700001,49.700001,49.700001,49.700001,0.0,49.700001,2013-12-16,SLA,1.92352947058824,1.92352947058824
48833,63367,49.700001,49.700001,49.700001,49.700001,0.0,49.700001,2013-12-17,SLA,0.0,0.0
48834,63368,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-18,SLA,-0.65794769299904,-0.65794769299904
48835,63369,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-19,SLA,0.0,0.0
48836,63370,51.68,51.68,51.68,51.68,0.0,51.68,2013-12-20,SLA,2.04,2.04
48837,63371,51.68,51.68,51.68,51.68,0.0,51.68,2013-12-23,SLA,0.0,0.0
48838,63372,51.68,51.68,51.68,51.68,0.0,51.68,2013-12-24,SLA,0.0,0.0
48839,63373,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-26,SLA,-0.671052631578947,-0.671052631578947
48840,63374,51.68,51.68,51.68,51.68,0.0,51.68,2013-12-27,SLA,2.04,2.04
48841,63375,17.0,17.0,17.0,17.0,0.0,17.0,2013-12-30,SLA,-0.671052631578947,-0.671052631578947
48842,63376,51.68,51.68,51.68,51.68,0.0,51.68,2013-12-31,SLA,2.04,2.04
48843,63377,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-02,SLA,-0.671052631578947,-0.671052631578947
48844,63378,53.400002,53.400002,53.400002,53.400002,0.0,53.400002,2014-01-03,SLA,2.14117658823529,2.14117658823529
48845,63379,53.400002,53.400002,53.400002,53.400002,0.0,53.400002,2014-01-06,SLA,0.0,0.0
48846,63380,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-07,SLA,-0.6816479519982039,-0.6816479519982039
48847,63381,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-08,SLA,0.0,0.0
48848,63382,53.400002,53.400002,53.400002,53.400002,0.0,53.400002,2014-01-09,SLA,2.14117658823529,2.14117658823529
48849,63383,52.720001,53.0,51.900002,52.720001,31300.0,52.720001,2014-01-10,SLA,-0.0127341006466628,-0.0127341006466628
48850,63384,52.720001,52.720001,52.720001,52.720001,0.0,52.720001,2014-01-13,SLA,0.0,0.0
48851,63385,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-14,SLA,-0.67754173601021,-0.67754173601021
48852,63386,52.59,53.09,51.580002,52.59,2082.0,52.59,2014-01-15,SLA,2.09352941176471,2.09352941176471
48853,63387,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-16,SLA,-0.6767446282563231,-0.6767446282563231
48854,63388,51.099998,51.099998,51.099998,51.099998,0.0,51.099998,2014-01-17,SLA,2.00588223529412,2.00588223529412
48855,63389,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-21,SLA,-0.667318969366692,-0.667318969366692
48856,63390,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-22,SLA,0.0,0.0
48857,63391,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-23,SLA,0.0,0.0
48858,63392,17.0,17.0,17.0,17.0,0.0,17.0,2014-01-24,SLA,0.0,0.0
48859,63393,48.290001000000004,48.580002,47.66,48.290001000000004,285700.0,48.290001000000004,2014-01-27,SLA,1.84058829411765,1.84058829411765
48860,63394,48.389998999999996,48.900002,47.75,48.389998999999996,21459.0,48.389998999999996,2014-01-28,SLA,0.0020707806570559,0.0020707806570559
48861,63395,46.779999,49.09,46.189999,46.779999,176000.0,46.779999,2014-01-29,SLA,-0.0332713377406767,-0.0332713377406767
48862,63396,46.66,47.130001,44.950001,46.66,363177.0,46.66,2014-01-30,SLA,-0.00256517748108542,-0.00256517748108542
48863,63397,47.689999,47.709998999999996,46.32,47.689999,105710.0,47.689999,2014-01-31,SLA,0.0220745606515218,0.0220745606515218
48864,63398,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-03,SLA,-0.643531131128772,-0.643531131128772
48865,63399,48.0,48.209998999999996,46.25,48.0,221598.0,48.0,2014-02-04,SLA,1.8235294117647098,1.8235294117647098
48866,63400,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-05,SLA,-0.645833333333333,-0.645833333333333
48867,63401,47.02,47.02,47.02,47.02,0.0,47.02,2014-02-06,SLA,1.7658823529411798,1.7658823529411798
48868,63402,48.25,48.400002,47.060001,48.25,114710.0,48.25,2014-02-07,SLA,0.0261590812420247,0.0261590812420247
48869,63403,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-10,SLA,-0.647668393782384,-0.647668393782384
48870,63404,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-11,SLA,0.0,0.0
48871,63405,48.25,48.25,48.25,48.25,0.0,48.25,2014-02-12,SLA,1.8382352941176499,1.8382352941176499
48872,63406,51.150002,52.150002,50.73,51.150002,196000.0,51.150002,2014-02-13,SLA,0.0601036683937823,0.0601036683937823
48873,63407,51.150002,52.610001000000004,51.099998,51.150002,6623.0,51.150002,2014-02-14,SLA,0.0,0.0
48874,63408,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-18,SLA,-0.667644196768555,-0.667644196768555
48875,63409,51.849998,52.25,51.419998,51.849998,70000.0,51.849998,2014-02-19,SLA,2.0499998823529397,2.0499998823529397
48876,63410,17.0,17.0,17.0,17.0,0.0,17.0,2014-02-20,SLA,-0.6721311348941611,-0.6721311348941611
48877,63411,51.150002,51.150002,51.150002,51.150002,0.0,51.150002,2014-02-21,SLA,2.0088236470588203,2.0088236470588203
