,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
44455,56881,8.5,8.5,8.5,8.5,3300.0,7.8827240000000005,2013-11-21,SVT,,
44456,56882,8.35,8.55,8.35,8.5,5700.0,7.8827240000000005,2013-11-22,SVT,0.0,0.0
44457,56883,8.5,8.5,8.46,8.46,600.0,7.845629,2013-11-25,SVT,-0.0047058605629221,-0.0047058823529411205
44458,56884,8.5,8.5,8.32,8.32,2000.0,7.715796000000001,2013-11-26,SVT,-0.0165484500987747,-0.016548463356974
44459,56885,8.46,9.04,8.4,8.58,70700.0,7.956914,2013-11-27,SVT,0.0312499189973401,0.03125
44460,56886,8.7,8.7,8.34,8.5,18400.0,7.8827240000000005,2013-11-29,SVT,-0.00932396655286216,-0.009324009324009341
44461,56887,8.5,8.5,8.4,8.41,1900.0,7.79926,2013-12-02,SVT,-0.0105882179814997,-0.0105882352941177
44462,56888,8.36,8.36,8.1,8.17,9600.0,7.576688000000001,2013-12-03,SVT,-0.0285375792062325,-0.0285374554102259
44463,56889,8.11,8.21,8.05,8.12,3100.0,7.53032,2013-12-04,SVT,-0.006119824387648021,-0.0061199510403917605
44464,56890,8.1,8.1,8.1,8.1,300.0,7.511773,2013-12-05,SVT,-0.0024629763409788103,-0.00246305418719206
44465,56891,8.2,8.33,8.2,8.25,5300.0,7.650879,2013-12-06,SVT,0.0185183977204848,0.0185185185185186
44466,56892,8.15,8.15,8.02,8.1,2100.0,7.511773,2013-12-09,SVT,-0.0181817017364932,-0.0181818181818182
44467,56893,8.1,8.25,8.1,8.25,9900.0,7.650879,2013-12-10,SVT,0.0185183977204848,0.0185185185185186
44468,56894,8.26,8.26,8.1,8.15,1300.0,7.558141,2013-12-11,SVT,-0.0121212216269529,-0.0121212121212121
44469,56895,8.15,8.15,8.15,8.15,0.0,7.558141,2013-12-12,SVT,0.0,0.0
44470,56896,8.06,8.17,7.7,8.17,9000.0,7.576688000000001,2013-12-13,SVT,0.00245391029354969,0.00245398773006134
44471,56897,8.15,8.15,8.1,8.1,6400.0,7.511773,2013-12-16,SVT,-0.008567727745949159,-0.00856793145654833
44472,56898,8.0,8.19,8.0,8.19,6700.0,7.595236,2013-12-17,SVT,0.0111109587576728,0.0111111111111111
44473,56899,8.12,8.37,8.12,8.25,12700.0,7.650879,2013-12-18,SVT,0.007326039638531291,0.0073260073260073
44474,56900,8.24,8.25,8.2,8.2,4500.0,7.604508999999999,2013-12-19,SVT,-0.00606074151741254,-0.0060606060606061
44475,56901,8.25,8.25,8.25,8.25,3000.0,7.650879,2013-12-20,SVT,0.00609769808938343,0.00609756097560976
44476,56902,8.25,8.25,8.25,8.25,0.0,7.650879,2013-12-23,SVT,0.0,0.0
44477,56903,8.03,8.25,8.02,8.05,3100.0,7.4654039999999995,2013-12-24,SVT,-0.0242423125499697,-0.0242424242424242
44478,56904,7.96,8.26,7.96,8.26,10400.0,7.660153,2013-12-26,SVT,0.026086866832659,0.026086956521739
44479,56905,8.19,8.22,7.96,8.07,4000.0,7.48395,2013-12-27,SVT,-0.0230025431606915,-0.023002421307506002
44480,56906,8.25,8.49,8.1,8.1,9200.0,7.511773,2013-12-30,SVT,0.0037176891881960396,0.00371747211895901
44481,56907,8.1,8.1,8.1,8.1,1400.0,7.511773,2013-12-31,SVT,0.0,0.0
44482,56908,8.16,8.16,8.16,8.16,600.0,7.567415,2014-01-02,SVT,0.00740730583844851,0.00740740740740753
44483,56909,8.39,8.4,8.25,8.25,3100.0,7.650879,2014-01-03,SVT,0.0110293937890285,0.0110294117647058
44484,56910,8.43,8.43,8.35,8.4,1600.0,7.789986,2014-01-06,SVT,0.0181818324404295,0.0181818181818183
44485,56911,8.45,8.45,8.43,8.43,600.0,7.817808,2014-01-07,SVT,0.0035715083441743,0.00357142857142856
44486,56912,8.43,8.43,8.43,8.43,0.0,7.817808,2014-01-08,SVT,0.0,0.0
44487,56913,8.45,8.45,8.3,8.45,2300.0,7.836355,2014-01-09,SVT,0.00237240413169526,0.0023724792408066396
44488,56914,8.45,8.45,8.45,8.45,0.0,7.836355,2014-01-10,SVT,0.0,0.0
44489,56915,8.45,8.45,8.45,8.45,0.0,7.836355,2014-01-13,SVT,0.0,0.0
44490,56916,8.45,8.45,8.45,8.45,0.0,7.836355,2014-01-14,SVT,0.0,0.0
44491,56917,8.36,8.36,8.35,8.35,2300.0,7.7436169999999995,2014-01-15,SVT,-0.011834328587717,-0.0118343195266272
44492,56918,8.31,8.31,8.31,8.31,400.0,7.7065220000000005,2014-01-16,SVT,-0.00479039704572171,-0.00479041916167655
44493,56919,8.44,8.44,8.35,8.35,3400.0,7.7436169999999995,2014-01-17,SVT,0.00481345540828926,0.004813477737665379
44494,56920,8.44,8.45,8.44,8.45,5200.0,7.836355,2014-01-21,SVT,0.0119760571836132,0.0119760479041915
44495,56921,8.45,8.45,8.45,8.45,0.0,7.836355,2014-01-22,SVT,0.0,0.0
44496,56922,8.49,8.49,8.0,8.02,15400.0,7.437582000000001,2014-01-23,SVT,-0.0508875618830439,-0.0508875739644971
44497,56923,8.53,8.75,7.92,8.17,28900.0,7.576688000000001,2014-01-24,SVT,0.0187031215252484,0.018703241895262002
44498,56924,8.0,8.0,7.92,7.98,7100.0,7.400486999999999,2014-01-27,SVT,-0.0232556758309171,-0.0232558139534883
