,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
126622,127048,12.91,13.01,12.78,13.0,2240300.0,13.0,2013-11-21,CDNS,,
126623,127049,13.0,13.26,12.98,13.0,7603600.0,13.0,2013-11-22,CDNS,0.0,0.0
126624,127050,13.0,13.04,12.79,12.83,3443500.0,12.83,2013-11-25,CDNS,-0.0130769230769231,-0.0130769230769231
126625,127051,13.23,13.34,12.9,13.2,7371800.0,13.2,2013-11-26,CDNS,0.0288386593920498,0.0288386593920498
126626,127052,13.2,13.35,13.17,13.3,2607900.0,13.3,2013-11-27,CDNS,0.00757575757575779,0.00757575757575779
126627,127053,13.34,13.36,13.19,13.25,926800.0,13.25,2013-11-29,CDNS,-0.0037593984962406295,-0.0037593984962406295
126628,127054,13.26,13.39,13.13,13.31,2523700.0,13.31,2013-12-02,CDNS,0.00452830188679254,0.00452830188679254
126629,127055,13.21,13.4,13.2,13.38,2572900.0,13.38,2013-12-03,CDNS,0.00525920360631105,0.00525920360631105
126630,127056,13.36,13.7,13.28,13.61,3886700.0,13.61,2013-12-04,CDNS,0.0171898355754856,0.0171898355754856
126631,127057,13.61,13.63,13.33,13.38,4424700.0,13.38,2013-12-05,CDNS,-0.0168993387215282,-0.0168993387215282
126632,127058,13.45,13.54,13.34,13.36,2965300.0,13.36,2013-12-06,CDNS,-0.00149476831091189,-0.00149476831091189
126633,127059,13.35,13.45,13.27,13.42,3254700.0,13.42,2013-12-09,CDNS,0.00449101796407181,0.00449101796407181
126634,127060,13.38,13.72,13.37,13.66,4003100.0,13.66,2013-12-10,CDNS,0.0178837555886737,0.0178837555886737
126635,127061,13.66,13.67,13.5,13.55,2423800.0,13.55,2013-12-11,CDNS,-0.008052708638360159,-0.008052708638360159
126636,127062,13.52,13.56,13.37,13.42,1552400.0,13.42,2013-12-12,CDNS,-0.0095940959409595,-0.0095940959409595
126637,127063,13.49,13.61,13.43,13.55,2280200.0,13.55,2013-12-13,CDNS,0.00968703427719819,0.00968703427719819
126638,127064,13.64,13.77,13.57,13.7,3289900.0,13.7,2013-12-16,CDNS,0.0110701107011069,0.0110701107011069
126639,127065,13.68,13.83,13.6,13.81,2890000.0,13.81,2013-12-17,CDNS,0.00802919708029215,0.00802919708029215
126640,127066,13.82,13.89,13.52,13.69,4195400.0,13.69,2013-12-18,CDNS,-0.008689355539464259,-0.008689355539464259
126641,127067,13.58,13.87,13.46,13.54,3702800.0,13.54,2013-12-19,CDNS,-0.0109569028487948,-0.0109569028487948
126642,127068,13.51,13.73,13.28,13.56,9493700.0,13.56,2013-12-20,CDNS,0.00147710487444619,0.00147710487444619
126643,127069,13.64,13.76,13.46,13.72,4510200.0,13.72,2013-12-23,CDNS,0.0117994100294985,0.0117994100294985
126644,127070,13.81,13.84,13.66,13.81,1250600.0,13.81,2013-12-24,CDNS,0.0065597667638484,0.0065597667638484
126645,127071,13.85,13.89,13.73,13.77,1211300.0,13.77,2013-12-26,CDNS,-0.00289645184648812,-0.00289645184648812
126646,127072,13.63,13.95,13.63,13.93,1543700.0,13.93,2013-12-27,CDNS,0.0116194625998547,0.0116194625998547
126647,127073,13.95,14.09,13.87,13.99,1584900.0,13.99,2013-12-30,CDNS,0.0043072505384063,0.0043072505384063
126648,127074,14.03,14.16,13.98,14.02,960600.0,14.02,2013-12-31,CDNS,0.00214438884917789,0.00214438884917789
126649,127075,14.0,14.08,13.92,14.01,3118200.0,14.01,2014-01-02,CDNS,-0.00071326676176886,-0.00071326676176886
126650,127076,14.45,14.45,14.16,14.17,4180700.0,14.17,2014-01-03,CDNS,0.0114204139900071,0.0114204139900071
126651,127077,14.15,14.35,14.09,14.27,2557000.0,14.27,2014-01-06,CDNS,0.0070571630204656595,0.0070571630204656595
126652,127078,14.28,14.38,14.19,14.34,2169300.0,14.34,2014-01-07,CDNS,0.00490539593552919,0.00490539593552919
126653,127079,14.28,14.5,14.14,14.42,3487500.0,14.42,2014-01-08,CDNS,0.00557880055788007,0.00557880055788007
126654,127080,14.46,14.47,14.22,14.32,1849000.0,14.32,2014-01-09,CDNS,-0.00693481276005548,-0.00693481276005548
126655,127081,14.35,14.5,14.27,14.49,1824700.0,14.49,2014-01-10,CDNS,0.0118715083798884,0.0118715083798884
126656,127082,14.48,14.48,14.23,14.27,1771300.0,14.27,2014-01-13,CDNS,-0.0151828847481021,-0.0151828847481021
126657,127083,14.27,14.52,14.27,14.46,1553300.0,14.46,2014-01-14,CDNS,0.0133146461107219,0.0133146461107219
126658,127084,14.48,14.89,14.39,14.83,5554400.0,14.83,2014-01-15,CDNS,0.0255878284923927,0.0255878284923927
126659,127085,14.82,14.82,14.39,14.46,2473200.0,14.46,2014-01-16,CDNS,-0.0249494268374916,-0.0249494268374916
126660,127086,14.42,14.51,14.33,14.47,1473500.0,14.47,2014-01-17,CDNS,0.00069156293222683,0.00069156293222683
126661,127087,14.53,14.63,14.4,14.55,1655200.0,14.55,2014-01-21,CDNS,0.00552868002764351,0.00552868002764351
126662,127088,14.59,14.59,14.29,14.3,2329400.0,14.3,2014-01-22,CDNS,-0.0171821305841925,-0.0171821305841925
126663,127089,14.23,14.27,13.98,14.09,4513200.0,14.09,2014-01-23,CDNS,-0.0146853146853148,-0.0146853146853148
126664,127090,14.25,14.38,14.08,14.16,6080300.0,14.16,2014-01-24,CDNS,0.0049680624556423,0.0049680624556423
126665,127091,14.17,14.33,13.73,14.0,6328500.0,14.0,2014-01-27,CDNS,-0.0112994350282486,-0.0112994350282486
126666,127092,14.0,14.12,13.89,14.01,3284200.0,14.01,2014-01-28,CDNS,0.000714285714285667,0.000714285714285667
126667,127093,13.95,14.14,13.85,14.08,3633000.0,14.08,2014-01-29,CDNS,0.00499643112062809,0.00499643112062809
126668,127094,14.32,14.65,14.03,14.3,3386000.0,14.3,2014-01-30,CDNS,0.015625,0.015625
126669,127095,14.05,14.43,14.05,14.12,3552500.0,14.12,2014-01-31,CDNS,-0.0125874125874127,-0.0125874125874127
126670,127096,14.06,14.17,13.72,13.76,5546300.0,13.76,2014-02-03,CDNS,-0.0254957507082153,-0.0254957507082153
126671,127097,13.77,13.95,13.67,13.81,2812000.0,13.81,2014-02-04,CDNS,0.00363372093023262,0.00363372093023262
126672,127098,13.84,13.9,13.59,13.74,2446900.0,13.74,2014-02-05,CDNS,-0.005068790731354129,-0.005068790731354129
126673,127099,13.66,13.84,13.65,13.73,2862800.0,13.73,2014-02-06,CDNS,-0.000727802037845726,-0.000727802037845726
126674,127100,13.82,14.08,13.68,14.01,3792800.0,14.01,2014-02-07,CDNS,0.0203932993445011,0.0203932993445011
126675,127101,13.96,14.39,13.95,14.23,3819400.0,14.23,2014-02-10,CDNS,0.0157030692362599,0.0157030692362599
126676,127102,14.24,14.49,14.19,14.42,2378200.0,14.42,2014-02-11,CDNS,0.0133520730850316,0.0133520730850316
126677,127103,14.41,14.75,14.41,14.58,3273900.0,14.58,2014-02-12,CDNS,0.0110957004160888,0.0110957004160888
126678,127104,14.5,14.62,14.46,14.57,1788000.0,14.57,2014-02-13,CDNS,-0.000685871056241405,-0.000685871056241405
126679,127105,14.58,14.72,14.5,14.68,2295500.0,14.68,2014-02-14,CDNS,0.00754975978037065,0.00754975978037065
126680,127106,14.7,14.75,14.61,14.69,1734200.0,14.69,2014-02-18,CDNS,0.000681198910081671,0.000681198910081671
126681,127107,14.51,14.88,14.51,14.77,2953900.0,14.77,2014-02-19,CDNS,0.00544588155207615,0.00544588155207615
126682,127108,14.77,14.96,14.65,14.94,3889000.0,14.94,2014-02-20,CDNS,0.0115098171970209,0.0115098171970209
126683,127109,14.93,15.2,14.84,15.14,4957400.0,15.14,2014-02-21,CDNS,0.0133868808567605,0.0133868808567605
126684,127110,15.09,15.29,15.07,15.14,2776300.0,15.14,2014-02-24,CDNS,0.0,0.0
126685,127111,15.1,15.24,14.81,15.1,2603300.0,15.1,2014-02-25,CDNS,-0.00264200792602387,-0.00264200792602387
126686,127112,15.08,15.25,14.94,15.24,3528300.0,15.24,2014-02-26,CDNS,0.00927152317880808,0.00927152317880808
126687,127113,15.23,15.38,15.14,15.35,1934100.0,15.35,2014-02-27,CDNS,0.007217847769028779,0.007217847769028779
126688,127114,15.39,15.46,15.24,15.33,2311600.0,15.33,2014-02-28,CDNS,-0.0013029315960911801,-0.0013029315960911801
126689,127115,15.17,15.39,15.0,15.3,2043200.0,15.3,2014-03-03,CDNS,-0.00195694716242656,-0.00195694716242656
126690,127116,15.4,15.59,15.24,15.52,2171900.0,15.52,2014-03-04,CDNS,0.0143790849673202,0.0143790849673202
126691,127117,15.5,15.5,15.35,15.45,1445200.0,15.45,2014-03-05,CDNS,-0.0045103092783505,-0.0045103092783505
126692,127118,15.93,16.02,15.44,15.96,6533100.0,15.96,2014-03-06,CDNS,0.0330097087378642,0.0330097087378642
126693,127119,15.97,16.07,15.85,15.91,5214100.0,15.91,2014-03-07,CDNS,-0.0031328320802005397,-0.0031328320802005397
126694,127120,15.84,15.97,15.7,15.81,3956500.0,15.81,2014-03-10,CDNS,-0.00628535512256445,-0.00628535512256445
126695,127121,15.83,15.92,15.53,15.61,2170400.0,15.61,2014-03-11,CDNS,-0.0126502213788742,-0.0126502213788742
126696,127122,15.53,15.6,15.36,15.52,2540800.0,15.52,2014-03-12,CDNS,-0.00576553491351695,-0.00576553491351695
126697,127123,15.52,15.58,15.24,15.38,2341400.0,15.38,2014-03-13,CDNS,-0.009020618556701,-0.009020618556701
126698,127124,15.32,15.47,15.15,15.27,1768200.0,15.27,2014-03-14,CDNS,-0.00715214564369315,-0.00715214564369315
126699,127125,15.47,15.72,15.39,15.58,2401800.0,15.58,2014-03-17,CDNS,0.0203012442698101,0.0203012442698101
126700,127126,15.58,15.77,15.51,15.7,1071400.0,15.7,2014-03-18,CDNS,0.00770218228498076,0.00770218228498076
