,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
144730,145156,55.650002,56.150002,55.419998,55.689999,551700.0,49.65313,2013-11-21,CE,,
144731,145157,55.790001000000004,56.290001000000004,55.400002,56.09,618900.0,50.009777,2013-11-22,CE,0.00718276974684184,0.00718263614980508
144732,145158,56.169998,56.41,54.689999,54.91,970400.0,48.957687,2013-11-25,CE,-0.0210376862908227,-0.0210376181137459
144733,145159,54.919998,56.169998,54.919998,55.709998999999996,891100.0,49.670975,2013-11-26,CE,0.0145694791504345,0.0145692769987253
144734,145160,55.59,55.959998999999996,55.52,55.939999,396300.0,49.876049,2013-11-27,CE,0.00412864857192763,0.004128522780982189
144735,145161,56.150002,56.73,56.009997999999996,56.130001,284700.0,50.045441,2013-11-29,CE,0.0033962593949652398,0.00339653205928725
144736,145162,56.380001,57.259997999999996,56.040001000000004,56.110001000000004,407800.0,50.027607,2013-12-02,CE,-0.000356356136415936,-0.000356315689358455
144737,145163,55.77,56.34,55.060001,55.509997999999996,456000.0,49.492649,2013-12-03,CE,-0.0106932558257284,-0.0106933343308975
144738,145164,55.400002,56.040001000000004,55.130001,55.869999,853000.0,49.813621999999995,2013-12-04,CE,0.00648526612507649,0.00648533620916347
144739,145165,55.709998999999996,56.310001,55.25,55.369999,927700.0,49.367813,2013-12-05,CE,-0.00894953994712544,-0.00894934685787263
144740,145166,56.18,56.18,55.619999,55.880001,1311000.0,49.822540000000004,2013-12-06,CE,0.00921100150820942,0.009210800238591329
144741,145167,55.970001,56.970001,55.75,56.84,881900.0,50.678471,2013-12-09,CE,0.017179593814366,0.0171796525200492
144742,145168,56.970001,57.740002000000004,56.57,56.66,727000.0,50.517998,2013-12-10,CE,-0.00316649253289436,-0.0031667839549613898
144743,145169,57.09,57.529999,55.209998999999996,55.400002,885900.0,49.394581,2013-12-11,CE,-0.0222379556687895,-0.0222378750441228
144744,145170,55.619999,55.720001,54.830002,55.0,571100.0,49.037937,2013-12-12,CE,-0.00722030621132308,-0.0072202524469222595
144745,145171,55.060001,55.400002,54.66,55.169998,564300.0,49.189503,2013-12-13,CE,0.0030907907076107603,0.00309087272727271
144746,145172,55.400002,56.18,54.560001,54.959998999999996,821700.0,49.002277,2013-12-16,CE,-0.0038062185747231897,-0.0038063985429180897
144747,145173,55.0,55.18,54.310001,54.759997999999996,835900.0,48.823952,2013-12-17,CE,-0.0036391166067650796,-0.0036390284504918
144748,145174,54.669998,55.02,53.52,54.73,1002200.0,48.797211,2013-12-18,CE,-0.0005477024883197009,-0.00054780863943793
144749,145175,54.619999,54.990002000000004,54.049999,54.34,1052000.0,48.449482,2013-12-19,CE,-0.007126001524964121,-0.00712589073634196
144750,145176,54.639998999999996,54.639998999999996,53.799999,54.27,1056000.0,48.387074,2013-12-20,CE,-0.0012881045869593802,-0.00128818549871179
144751,145177,54.509997999999996,54.950001,54.099998,54.470001,566200.0,48.565384,2013-12-23,CE,0.00368507506777549,0.00368529574350474
144752,145178,54.450001,55.490002000000004,54.240002000000004,55.009997999999996,432800.0,49.046844,2013-12-24,CE,0.009913645488729191,0.00991365871280236
144753,145179,55.220001,55.400002,54.830002,55.200001,460200.0,49.216251,2013-12-26,CE,0.00345398370586292,0.00345397213066612
144754,145180,55.259997999999996,55.529999,54.919998,55.119999,381700.0,49.14492,2013-12-27,CE,-0.0014493383496438901,-0.00144931156794725
144755,145181,55.080002,55.299999,54.419998,55.189999,440800.0,49.207344,2013-12-30,CE,0.00127020249498822,0.0012699564816756
144756,145182,55.169998,55.639998999999996,55.0,55.310001,536600.0,49.314331,2013-12-31,CE,0.00217420798001222,0.00217434321750942
144757,145183,55.150002,55.470001,54.889998999999996,54.990002000000004,734500.0,49.029018,2014-01-02,CE,-0.00578560013315399,-0.0057855540447378
144758,145184,55.040001000000004,55.580002,54.91,55.299999,471400.0,49.305408,2014-01-03,CE,0.00563727382832746,0.00563733385570719
144759,145185,55.259997999999996,55.330002,53.84,54.040001000000004,1225800.0,48.182014,2014-01-06,CE,-0.0227843972004044,-0.0227847743722382
144760,145186,54.18,54.950001,54.18,54.66,761300.0,48.734790999999994,2014-01-07,CE,0.0114726835619614,0.0114729642584575
144761,145187,54.669998,54.669998,53.02,53.759997999999996,1263500.0,47.932354,2014-01-08,CE,-0.0164653830155956,-0.0164654592023417
144762,145188,53.880001,54.18,52.59,54.029999,1300300.0,48.173084,2014-01-09,CE,0.0050222861994220205,0.00502234021660475
144763,145189,54.09,54.700001,53.790001000000004,54.150002,739500.0,48.280079,2014-01-10,CE,0.00222105356592905,0.00222104390562738
144764,145190,54.150002,54.18,53.509997999999996,53.860001000000004,889900.0,48.021503,2014-01-13,CE,-0.0053557493143289205,-0.0053555122675711395
144765,145191,53.959998999999996,55.43,53.869999,55.400002,1179400.0,49.394581,2014-01-14,CE,0.0285929826061462,0.0285926656406859
144766,145192,55.48,56.18,55.290001000000004,55.779999,839600.0,49.733391,2014-01-15,CE,0.0068592544595123,0.00685915137692583
144767,145193,55.700001,56.209998999999996,55.580002,56.060001,1001000.0,49.983028000000004,2014-01-16,CE,0.00501950490365721,0.005019756275004729
144768,145194,56.02,56.209998999999996,54.860001000000004,55.099998,1152200.0,49.12709,2014-01-17,CE,-0.0171245727649793,-0.0171245626627798
144769,145195,55.52,55.889998999999996,54.540001000000004,54.689999,855600.0,48.761532,2014-01-21,CE,-0.00744106764719832,-0.007440998455208629
144770,145196,54.720001,55.16,54.02,55.049999,1174800.0,49.08252,2014-01-22,CE,0.00658281204126232,0.0065825563463624
144771,145197,54.209998999999996,55.189999,54.209998999999996,54.889998999999996,1659700.0,48.939865000000005,2014-01-23,CE,-0.0029064318620968302,-0.00290644873581192
144772,145198,52.59,55.5,51.23,52.669998,4114800.0,46.960503,2014-01-24,CE,-0.0404447785052123,-0.040444544369548995
144773,145199,53.18,53.18,51.349998,51.43,2503700.0,45.854915999999996,2014-01-27,CE,-0.0235429122213618,-0.0235427766676581
144774,145200,51.419998,51.830002,50.599998,51.419998,1944000.0,45.846008000000005,2014-01-28,CE,-0.000194264885361561,-0.000194477931168557
144775,145201,51.23,52.389998999999996,51.130001,51.5,1261600.0,45.917347,2014-01-29,CE,0.00155605696356376,0.0015558538139188699
144776,145202,51.91,52.209998999999996,51.200001,51.509997999999996,951600.0,45.926258000000004,2014-01-30,CE,0.00019406609009875502,0.000194135922330085
144777,145203,51.040001000000004,51.799999,50.610001000000004,50.639998999999996,1386900.0,45.150558000000004,2014-01-31,CE,-0.0168901198090208,-0.0168899055286316
144778,145204,50.740002000000004,50.970001,48.779999,48.830002,1780500.0,43.536774,2014-02-03,CE,-0.0357422825206278,-0.0357424375146611
144779,145205,49.150002,49.82,49.150002,49.599998,1728500.0,44.223296999999995,2014-02-04,CE,0.0157688073075879,0.0157689119078881
144780,145206,49.5,49.889998999999996,48.830002,49.580002,1530700.0,44.205471,2014-02-05,CE,-0.000403090705787923,-0.000403145177546138
144781,145207,49.860001000000004,50.869999,49.790001000000004,50.669998,2135800.0,45.177310999999996,2014-02-06,CE,0.0219846090996294,0.0219845896738771
144782,145208,51.759997999999996,52.560001,50.27,51.209998999999996,1639700.0,45.658772,2014-02-07,CE,0.010657141590388,0.0106572137618794
144783,145209,51.200001,51.700001,50.669998,51.299999,1389700.0,45.739017,2014-02-10,CE,0.00175749360933319,0.00175746927860709
144784,145210,51.200001,51.630001,51.009997999999996,51.439999,1424800.0,45.863846,2014-02-11,CE,0.0027291579091,0.00272904488750569
144785,145211,51.529999,52.48,51.459998999999996,52.240002000000004,1782200.0,46.740677000000005,2014-02-12,CE,0.0191181306513195,0.0155521581561462
144786,145212,51.810001,53.150002,51.790001000000004,52.799999,1421900.0,47.241721999999996,2014-02-13,CE,0.0107196778514784,0.0107196971393684
144787,145213,52.790001000000004,53.310001,52.68,53.099998,755100.0,47.510139,2014-02-14,CE,0.0056817784923251,0.00568179935003399
144788,145214,53.349998,53.349998,51.91,52.419998,1510400.0,46.901726000000004,2014-02-18,CE,-0.0128059612707091,-0.0128060268476846
144789,145215,52.43,52.900002,51.889998999999996,52.330002,930200.0,46.821213,2014-02-19,CE,-0.00171663192096594,-0.00171682570457177
144790,145216,52.380001,52.950001,52.16,52.919998,823000.0,47.349094,2014-02-20,CE,0.0112743982092049,0.0112745266090377
144791,145217,52.950001,53.09,52.099998,52.119999,917400.0,46.633305,2014-02-21,CE,-0.015117269192098999,-0.0151171396491738
144792,145218,52.110001000000004,53.07,51.970001,52.560001,764000.0,47.027004,2014-02-24,CE,0.00844244258475779,0.00844209532697793
144793,145219,52.549999,52.939999,52.110001000000004,52.34,743400.0,46.830151,2014-02-25,CE,-0.00418595664737642,-0.00418571148809521
144794,145220,52.400002,53.310001,52.400002,52.919998,680400.0,47.349094,2014-02-26,CE,0.0110813864341373,0.0110813526939242
144795,145221,52.84,53.66,52.75,53.630001,926300.0,47.984344,2014-02-27,CE,0.0134163073954487,0.0134165348985842
144796,145222,53.580002,53.810001,53.07,53.389998999999996,1002900.0,47.769611,2014-02-28,CE,-0.00447506378330409,-0.00447514442522567
144797,145223,52.889998999999996,53.009997999999996,51.900002,52.169998,1413500.0,46.678043,2014-03-03,CE,-0.022850678017872005,-0.0228507402669178
144798,145224,52.830002,52.93,52.360001000000004,52.860001000000004,757400.0,47.295418,2014-03-04,CE,0.0132262400118188,0.0132260499607455
144799,145225,52.919998,52.93,52.34,52.419998,701100.0,46.901726000000004,2014-03-05,CE,-0.00832410446187415,-0.00832393098138606
144800,145226,52.52,53.459998999999996,52.419998,53.360001000000004,1141200.0,47.742775,2014-03-06,CE,0.0179321545650581,0.0179321449039354
144801,145227,53.599998,54.290001000000004,53.349998,54.009997999999996,1578400.0,48.324345,2014-03-07,CE,0.0121813195818634,0.0121813528451771
144802,145228,53.82,54.189999,52.939999,53.419998,1138700.0,47.796471000000004,2014-03-10,CE,-0.0109235624404221,-0.0109239033854436
144803,145229,53.560001,54.290001000000004,53.419998,53.48,968300.0,47.850151000000004,2014-03-11,CE,0.00112309546870093,0.0011232123220969998
