,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
554583,560537,28.314559999999997,28.556725,28.193478000000002,28.472897999999997,4361400.0,21.383126999999998,2013-11-21,PPL,,
554584,560538,28.575352000000002,28.919970000000003,28.528782,28.593981,5552700.0,21.474062,2013-11-22,PPL,0.0042526521027537205,0.00425257028631232
554585,560539,28.603294,28.743004,28.519468,28.612608,4067300.0,21.48805,2013-11-25,PPL,0.0006513905007818901,0.000651430802867337
554586,560540,28.68712,28.705748,28.295933,28.295933,5150500.0,21.250227,2013-11-26,PPL,-0.0110676864582874,-0.0110676733837055
554587,560541,28.249363,28.444956,28.128281,28.4077,3977500.0,21.334169,2013-11-27,PPL,0.0039501695676003,0.00394993160324475
554588,560542,28.463585,28.798887,28.370442999999998,28.603294,2868700.0,21.481056,2013-11-29,PPL,0.00688505842435205,0.0068852459016395294
554589,560543,28.603294,28.631234999999997,28.240046999999997,28.333187,4349100.0,21.278206,2013-12-02,PPL,-0.00944320428194956,-0.0094432130788854
554590,560544,28.295933,28.649864,28.26799,28.631234999999997,4923900.0,21.502036999999998,2013-12-03,PPL,0.0105192608812981,0.0105193955060545
554591,560545,28.547409000000002,28.743004,28.426329,28.733690000000003,3272400.0,21.578982999999997,2013-12-04,PPL,0.0035785446746277,0.00357843453137807
554592,560546,28.696434000000004,28.724377,28.146908000000003,28.212107,5681600.0,21.187271,2013-12-05,PPL,-0.0181524773433485,-0.018152315278685
554593,560547,27.988569000000002,28.17485,27.70915,27.923371999999997,7526300.0,21.228348,2013-12-06,PPL,0.00193875841773106,-0.0102344358753496
554594,560548,27.886115999999998,28.044455,27.727777000000003,27.997884999999997,4478000.0,21.284996,2013-12-09,PPL,0.00266850722439638,0.0026684814427140303
554595,560549,28.025826000000002,28.072395,27.569440999999998,27.606695000000002,4330500.0,20.987598000000002,2013-12-10,PPL,-0.013972189611875,-0.0139721268231512
554596,560550,27.569440999999998,27.606695000000002,27.24345,27.299334,4722200.0,20.753926999999997,2013-12-11,PPL,-0.0111337657601407,-0.0111335674190626
554597,560551,27.33659,27.513556,27.24345,27.262077,4214500.0,20.725609,2013-12-12,PPL,-0.0013644646625191599,-0.0013647585688354401
554598,560552,27.345903000000003,27.373846,27.066484000000003,27.24345,4166600.0,20.711447,2013-12-13,PPL,-0.0006833092335187809,-0.000683256818620359
554599,560553,27.373846,27.578753999999996,27.299334,27.392473,2935900.0,20.824734,2013-12-16,PPL,0.00546977717201513,0.00547004876401491
554600,560554,27.290020000000002,27.355219,27.131681,27.280706,3951300.0,20.739769,2013-12-17,PPL,-0.00408000409513032,-0.00408020845726487
554601,560555,27.33659,27.653267,26.964028999999996,27.643951,4717500.0,21.015917,2013-12-18,PPL,0.0133149023983827,0.0133150879599671
554602,560556,27.550812,27.597382,27.131681,27.317963,3177200.0,20.768095000000002,2013-12-19,PPL,-0.0117921097613777,-0.011792380908213999
554603,560557,27.401789,27.699837,27.392473,27.643951,6248200.0,21.015917,2013-12-20,PPL,0.0119328229190017,0.0119331005756176
554604,560558,27.746407,27.904743,27.643951,27.718464,3551800.0,21.072571,2013-12-23,PPL,0.00269576626135315,0.00269545406154137
554605,560559,27.737090999999996,27.876802,27.597382,27.811604,1293200.0,21.143381,2013-12-24,PPL,0.00336029239146951,0.00336021505376327
554606,560560,27.783663,27.820916999999998,27.616011,27.70915,1888100.0,21.065489000000003,2013-12-26,PPL,-0.0036839898027663,-0.00368385800401871
554607,560561,27.792976,27.84886,27.634638,27.802290000000003,1769900.0,21.136295,2013-12-27,PPL,0.00336123220305984,0.00336134453781511
554608,560562,27.737090999999996,27.914059,27.737090999999996,27.895429999999998,2314200.0,21.2071,2013-12-30,PPL,0.00334992485674523,0.00335008375209389
554609,560563,27.895429999999998,28.109652,27.802290000000003,28.025826000000002,2639800.0,21.306238,2013-12-31,PPL,0.0046747551527555106,0.00467445742904826
554610,560564,28.063082,28.063082,27.606695000000002,27.616011,5007500.0,20.994677,2014-01-02,PPL,-0.0146229944488558,-0.0146227625904763
554611,560565,27.960628999999997,27.997884999999997,27.383159999999997,27.588068,4519500.0,20.973434,2014-01-03,PPL,-0.00101182790285359,-0.00101184055872516
554612,560566,27.75572,27.830233000000003,27.606695000000002,27.70915,4730500.0,21.065489000000003,2014-01-06,PPL,0.00438912387928458,0.00438892640108035
554613,560567,27.737090999999996,27.886115999999998,27.616011,27.867489000000003,4551200.0,21.185863,2014-01-07,PPL,0.00571427513503253,0.00571432180344744
554614,560568,27.765034000000004,27.802290000000003,27.494928,27.616011,4792800.0,20.994677,2014-01-08,PPL,-0.00902422525813562,-0.00902406384730248
554615,560569,27.66258,27.727777000000003,27.550812,27.66258,5600900.0,21.030085,2014-01-09,PPL,0.0016865227314524199,0.00168630436886774
554616,560570,27.84886,28.258677000000002,27.839546000000002,28.212107,5343600.0,21.447847,2014-01-10,PPL,0.0198649696375455,0.019865356015238
554617,560571,28.081711,28.230734,27.923371999999997,28.072395,4287400.0,21.341639,2014-01-13,PPL,-0.00495191895018643,-0.00495220013166686
554618,560572,28.072395,28.17485,27.941999,27.979256,3630600.0,21.270828,2014-01-14,PPL,-0.00331797384446431,-0.0033178145291843397
