,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
584484,590438,9.58,9.83,9.58,9.74,11750500.0,8.420567,2013-11-21,RF,,
584485,590439,9.77,9.86,9.7,9.86,7004400.0,8.52431,2013-11-22,RF,0.0123201917400573,0.0123203285420943
584486,590440,9.91,9.98,9.81,9.82,9733100.0,8.489727,2013-11-25,RF,-0.00405698525745779,-0.00405679513184576
584487,590441,9.86,9.9,9.75,9.76,10263400.0,8.437859,2013-11-26,RF,-0.00610950151871792,-0.006109979633401321
584488,590442,9.76,9.93,9.74,9.82,9213000.0,8.489727,2013-11-27,RF,0.00614705697262785,0.0061475409836067
584489,590443,9.83,9.84,9.7,9.73,4863500.0,8.411922,2013-11-29,RF,-0.00916460564632993,-0.00916496945010181
584490,590444,9.74,9.93,9.73,9.74,12211500.0,8.420567,2013-12-02,RF,0.00102770805530517,0.00102774922918814
584491,590445,9.73,9.77,9.49,9.55,16219300.0,8.256304,2013-12-03,RF,-0.0195073562148487,-0.0195071868583162
584492,590446,9.56,9.82,9.55,9.67,15705500.0,8.360049,2013-12-04,RF,0.0125655499119219,0.0125654450261778
584493,590447,9.57,9.68,9.55,9.56,10329700.0,8.264951,2013-12-05,RF,-0.0113752921783115,-0.0113753877973112
584494,590448,9.69,9.82,9.68,9.71,16302600.0,8.394629,2013-12-06,RF,0.0156901111694432,0.0156903765690377
584495,590449,9.76,9.79,9.61,9.63,15019300.0,8.325467999999999,2013-12-09,RF,-0.00823872025791716,-0.00823892893923794
584496,590450,9.62,9.67,9.35,9.56,26578100.0,8.264951,2013-12-10,RF,-0.00726890067921715,-0.0072689511941849095
584497,590451,9.65,9.66,9.39,9.42,15199700.0,8.169553,2013-12-11,RF,-0.0115424761743899,-0.0146443514644352
584498,590452,9.41,9.61,9.39,9.52,14537900.0,8.256278,2013-12-12,RF,0.0106156358860761,0.0106157112526539
584499,590453,9.52,9.56,9.45,9.53,14538200.0,8.264951,2013-12-13,RF,0.00105047334888675,0.00105042016806722
584500,590454,9.61,9.63,9.54,9.57,8494400.0,8.299642,2013-12-16,RF,0.00419736305756691,0.004197271773347389
584501,590455,9.56,9.61,9.5,9.52,8037700.0,8.256278,2013-12-17,RF,-0.00522480367225486,-0.00522466039707425
584502,590456,9.58,9.62,9.44,9.6,18371400.0,8.325658,2013-12-18,RF,0.00840330231128372,0.00840336134453779
584503,590457,9.54,9.65,9.52,9.59,10970000.0,8.316984,2013-12-19,RF,-0.00104183957592308,-0.00104166666666661
584504,590458,9.64,9.72,9.58,9.63,17570900.0,8.351677,2013-12-20,RF,0.0041713438429122895,0.00417101147028154
584505,590459,9.66,9.83,9.64,9.82,7419600.0,8.516455,2013-12-23,RF,0.0197299296895701,0.019730010384216
584506,590460,9.81,9.87,9.77,9.85,3982800.0,8.542474,2013-12-24,RF,0.0030551444233546396,0.00305498981670049
584507,590461,9.85,9.91,9.84,9.88,5327200.0,8.568491,2013-12-26,RF,0.00304560482127303,0.00304568527918803
584508,590462,9.9,9.9,9.8,9.83,4730400.0,8.525127000000001,2013-12-27,RF,-0.005060867777068379,-0.00506072874493935
584509,590463,9.83,9.86,9.77,9.84,4707200.0,8.5338,2013-12-30,RF,0.00101734554804866,0.00101729399796535
584510,590464,9.84,9.93,9.81,9.89,6774500.0,8.577164999999999,2013-12-31,RF,0.005081558039794929,0.005081300813008171
584511,590465,9.86,9.99,9.83,9.89,12170200.0,8.577164999999999,2014-01-02,RF,0.0,0.0
584512,590466,9.92,9.96,9.83,9.87,6671400.0,8.559818,2014-01-03,RF,-0.00202246313321486,-0.00202224469160783
584513,590467,10.03,10.19,10.02,10.07,26432000.0,8.733267,2014-01-06,RF,0.020263164473823998,0.0202634245187439
584514,590468,10.19,10.22,10.03,10.1,21812600.0,8.759286,2014-01-07,RF,0.00297929743817527,0.00297914597815296
584515,590469,10.11,10.29,10.09,10.25,18251300.0,8.889375999999999,2014-01-08,RF,0.0148516671335999,0.0148514851485149
584516,590470,10.27,10.46,10.27,10.45,33896400.0,9.062825,2014-01-09,RF,0.0195119432455102,0.0195121951219512
584517,590471,10.39,10.51,10.33,10.48,20615600.0,9.088844,2014-01-10,RF,0.00287095911043189,0.00287081339712936
584518,590472,10.46,10.51,10.26,10.31,16696700.0,8.941410000000001,2014-01-13,RF,-0.016221424858871,-0.0162213740458015
584519,590473,10.42,10.49,10.29,10.37,17881900.0,8.993445,2014-01-14,RF,0.00581955194986028,0.00581959262851584
584520,590474,10.43,10.69,10.43,10.63,22993200.0,9.218931,2014-01-15,RF,0.0250722609634018,0.025072324011572004
584521,590475,10.55,10.57,10.41,10.48,13848300.0,9.088844,2014-01-16,RF,-0.0141108551522947,-0.0141110065851364
584522,590476,10.5,10.68,10.5,10.57,23296400.0,9.166895,2014-01-17,RF,0.00858756075030009,0.00858778625954204
584523,590477,10.61,10.91,10.5,10.86,39727600.0,9.4184,2014-01-21,RF,0.0274362256794694,0.0274361400189214
584524,590478,10.88,11.08,10.84,11.02,20300200.0,9.557160000000001,2014-01-22,RF,0.0147328633313513,0.0147329650092081
584525,590479,10.94,10.95,10.76,10.92,24655000.0,9.470438,2014-01-23,RF,-0.00907403454582745,-0.009074410163339321
584526,590480,10.84,10.88,10.52,10.55,22183200.0,9.14955,2014-01-24,RF,-0.0338831213508816,-0.0338827838827838
584527,590481,10.6,10.61,10.32,10.41,16709100.0,9.028136,2014-01-27,RF,-0.0132699422375964,-0.0132701421800948
584528,590482,10.55,10.59,10.37,10.53,13402700.0,9.132207000000001,2014-01-28,RF,0.0115274072078666,0.0115273775216138
584529,590483,10.47,10.5,10.23,10.31,18508700.0,8.941410000000001,2014-01-29,RF,-0.0208927590011921,-0.0208926875593541
584530,590484,10.43,10.45,10.3,10.43,8568200.0,9.045484,2014-01-30,RF,0.0116395512564573,0.0116391852570319
