,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
625227,631181,74.08000200000001,74.32,73.900002,74.139999,838700.0,68.49137900000001,2013-11-21,SYK,,
625228,631182,74.150002,74.440002,73.800003,74.279999,1003000.0,68.62068199999999,2013-11-22,SYK,0.0018878726328464,0.0018883194212073698
625229,631183,75.379997,75.5,74.540001,74.739998,1481700.0,69.045662,2013-11-25,SYK,0.006193176570293829,0.00619277068110891
625230,631184,74.879997,75.129997,74.389999,74.82,997800.0,69.119545,2013-11-26,SYK,0.00107005998436227,0.00107040409607717
625231,631185,74.800003,75.120003,74.559998,74.559998,608500.0,68.879349,2013-11-27,SYK,-0.00347508074597425,-0.0034750334135258396
625232,631186,74.589996,75.110001,74.349998,74.41999799999999,515200.0,68.750015,2013-11-29,SYK,-0.0018776890588788602,-0.00187768245380027
625233,631187,74.32,74.760002,74.150002,74.260002,827300.0,68.602211,2013-12-02,SYK,-0.0021498758945726103,-0.00214990599704135
625234,631188,74.050003,74.230003,73.440002,73.93,1066900.0,68.297379,2013-12-03,SYK,-0.0044434719458238394,-0.00444387275938929
625235,631189,73.650002,74.010002,72.760002,73.290001,786000.0,67.706131,2013-12-04,SYK,-0.00865696471309696,-0.00865682402272427
625236,631190,73.190002,73.690002,73.08000200000001,73.160004,762200.0,67.586014,2013-12-05,SYK,-0.0017740933978341899,-0.00177373445526363
625237,631191,73.940002,74.540001,73.809998,74.519997,1092900.0,68.842407,2013-12-06,SYK,0.0185895413213744,0.0185892964139258
625238,631192,74.480003,74.660004,74.059998,74.610001,935700.0,68.925575,2013-12-09,SYK,0.00120809256422416,0.00120778319408665
625239,631193,74.349998,74.660004,74.010002,74.400002,1030300.0,68.731567,2013-12-10,SYK,-0.00281474619544342,-0.00281462266700672
625240,631194,74.410004,74.449997,72.68,72.730003,1079400.0,67.188789,2013-12-11,SYK,-0.0224464255267162,-0.0224462225148866
625241,631195,72.529999,72.620003,71.809998,71.839996,1422400.0,66.366585,2013-12-12,SYK,-0.0122372201112302,-0.0122371368525861
625242,631196,72.040001,72.150002,71.220001,71.559998,2079500.0,66.107941,2013-12-13,SYK,-0.0038972021839003296,-0.0038975224887263203
