,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
656744,662698,143.559998,145.83999599999999,143.449997,145.050003,214900.0,100.567528,2013-11-21,TDG,,
656745,662699,145.28999299999998,149.100006,145.0,148.5,635200.0,102.959518,2013-11-22,TDG,0.0237849139535378,0.0237848805835599
656746,662700,148.949997,153.520004,148.229996,151.53999299999998,650100.0,105.06723000000001,2013-11-25,TDG,0.0204712691059801,0.0204713333333335
656747,662701,151.699997,156.990005,151.490005,156.059998,712800.0,108.20109599999999,2013-11-26,TDG,0.0298272448983381,0.0298271427266068
656748,662702,155.940002,158.100006,155.570007,157.919998,1039400.0,109.490692,2013-11-27,TDG,0.0119185114354108,0.0119184930400933
656749,662703,158.639999,159.199997,156.520004,156.520004,184400.0,108.52003500000001,2013-11-29,TDG,-0.00886520107115596,-0.008865210345304079
656750,662704,156.83999599999999,157.770004,154.080002,154.96000700000002,481300.0,107.43843100000001,2013-12-02,TDG,-0.00996686003649006,-0.00996675798704949
656751,662705,155.029999,157.860001,154.880005,155.190002,364900.0,107.5979,2013-12-03,TDG,0.00148428265859546,0.00148422166759454
656752,662706,154.690002,156.28999299999998,153.240005,154.169998,595800.0,106.890694,2013-12-04,TDG,-0.00657267474551082,-0.00657261413012933
656753,662707,154.33999599999999,154.979996,153.479996,154.059998,255900.0,106.81443,2013-12-05,TDG,-0.00071347651648701,-0.000713498095783804
656754,662708,154.759995,156.199997,153.869995,156.080002,315400.0,108.214951,2013-12-06,TDG,0.0131117209538074,0.0131118007673867
656755,662709,155.630005,156.270004,154.389999,154.779999,351300.0,107.31361399999999,2013-12-09,TDG,-0.0083291355923637,-0.00832908113366115
656756,662710,154.270004,156.110001,154.080002,155.509995,354700.0,107.81975600000001,2013-12-10,TDG,0.0047164752088211205,0.00471634581157998
656757,662711,155.53999299999998,156.850006,155.169998,156.25,388900.0,108.332825,2013-12-11,TDG,0.004758580607435279,0.004758568733797429
656758,662712,155.860001,157.320007,154.300003,156.630005,293500.0,108.59628300000001,2013-12-12,TDG,0.00243193141137055,0.00243203199999997
656759,662713,157.08999599999999,157.08999599999999,154.199997,156.28999299999998,388700.0,108.36055,2013-12-13,TDG,-0.0021707280717885302,-0.00217079735137593
656760,662714,156.600006,156.759995,155.509995,156.259995,317800.0,108.33976000000001,2013-12-16,TDG,-0.000191859491300184,-0.000191938072452325
656761,662715,156.190002,158.139999,153.869995,154.770004,405400.0,107.306694,2013-12-17,TDG,-0.0095354281752148,-0.00953533244385429
656762,662716,155.0,155.669998,153.100006,154.570007,524800.0,107.16803,2013-12-18,TDG,-0.0012922213408233,-0.0012922206812116
656763,662717,154.179993,157.03999299999998,154.179993,156.639999,284500.0,108.603226,2013-12-19,TDG,0.0133920162570871,0.0133919383208669
656764,662718,156.58999599999999,160.279999,156.020004,160.110001,457200.0,111.009079,2013-12-20,TDG,0.0221526844883964,0.0221527197532734
656765,662719,160.58999599999999,161.149994,159.300003,159.559998,499800.0,110.627747,2013-12-23,TDG,-0.00343514245352849,-0.00343515705805286
656766,662720,159.490005,160.139999,159.110001,159.970001,88600.0,110.91201000000001,2013-12-24,TDG,0.00256954523352992,0.00256958514125816
656767,662721,160.179993,161.300003,160.050003,160.929993,132900.0,111.577591,2013-12-26,TDG,0.006000982220049971,0.00600107516408666
656768,662722,162.889999,162.949997,159.130005,160.119995,120000.0,111.015999,2013-12-27,TDG,-0.00503319703326455,-0.00503323205886186
656769,662723,160.119995,160.830002,159.050003,159.630005,107000.0,110.67628500000001,2013-12-30,TDG,-0.00306004542642546,-0.00306014248876274
656770,662724,159.550003,161.199997,159.449997,161.020004,125400.0,111.64001499999999,2013-12-31,TDG,0.0087076468097933,0.00870762987196549
656771,662725,160.600006,160.600006,158.869995,159.570007,519900.0,110.63468200000001,2014-01-02,TDG,-0.00900513135903835,-0.00900507368016212
656772,662726,159.649994,162.070007,159.399994,160.91000400000001,192900.0,111.563751,2014-01-03,TDG,0.008397628873737741,0.00839754929634107
656773,662727,160.630005,161.889999,159.990005,160.240005,186900.0,111.099205,2014-01-06,TDG,-0.00416395106686573,-0.00416381196535165
656774,662728,160.300003,161.949997,160.020004,161.029999,174400.0,111.646942,2014-01-07,TDG,0.0049301612914332,0.00493006724506784
656775,662729,161.03999299999998,162.820007,160.139999,162.779999,264200.0,112.86026799999999,2014-01-08,TDG,0.0108675255968946,0.0108675402773863
656776,662730,163.66000400000001,165.110001,162.66000400000001,164.78999299999998,377000.0,114.25386,2014-01-09,TDG,0.0123479416157333,0.0123479175104309
656777,662731,163.119995,164.619995,161.600006,164.570007,375900.0,114.10133400000001,2014-01-10,TDG,-0.0013349745907929,-0.0013349475656571099
656778,662732,165.470001,170.240005,163.929993,167.419998,766400.0,116.07730900000001,2014-01-13,TDG,0.017317720404566004,0.0173178032373784
656779,662733,167.16000400000001,169.759995,166.649994,169.71000700000002,325000.0,117.665047,2014-01-14,TDG,0.013678280567307,0.0136782285709978
656780,662734,169.5,173.179993,169.080002,172.25,565700.0,119.426102,2014-01-15,TDG,0.0149666791022487,0.0149666660493391
656781,662735,172.25,172.630005,171.309998,172.53999299999998,315900.0,119.627159,2014-01-16,TDG,0.0016835264371268801,0.00168355878084192
656782,662736,173.020004,174.16000400000001,171.809998,173.21000700000002,449100.0,120.091698,2014-01-17,TDG,0.00388322354123605,0.0038832388268381602
656783,662737,174.21000700000002,174.940002,173.020004,173.809998,179600.0,120.507698,2014-01-21,TDG,0.0034640196360618,0.00346395113303144
656784,662738,174.580002,176.259995,173.5,176.110001,397800.0,122.102356,2014-01-22,TDG,0.0132328309847889,0.0132328578704661
656785,662739,175.050003,175.050003,173.199997,173.759995,489800.0,120.47303000000001,2014-01-23,TDG,-0.0133439358041544,-0.0133439667631369
656786,662740,172.529999,174.119995,169.080002,169.100006,352600.0,117.242126,2014-01-24,TDG,-0.026818483771844998,-0.0268185378343272
656787,662741,169.869995,170.889999,166.770004,166.970001,538000.0,115.76531999999999,2014-01-27,TDG,-0.0125962062475735,-0.0125961261054007
656788,662742,167.800003,170.820007,166.33999599999999,170.229996,529000.0,118.025574,2014-01-28,TDG,0.0195244482544514,0.0195244354104065
656789,662743,168.830002,169.520004,167.279999,168.139999,243100.0,116.576523,2014-01-29,TDG,-0.012277432346993,-0.0122774895677024
656790,662744,170.169998,170.360001,166.979996,167.929993,235000.0,116.430916,2014-01-30,TDG,-0.00124902507171187,-0.00124899489264296
656791,662745,166.33999599999999,168.990005,166.100006,167.029999,405800.0,115.806923,2014-01-31,TDG,-0.005359341156433,-0.0053593404246732295
656792,662746,167.550003,170.630005,164.820007,165.0,498800.0,114.39946699999999,2014-02-03,TDG,-0.0121534703067795,-0.0121534994441328
656793,662747,173.419998,175.759995,166.300003,171.919998,1659800.0,119.19731100000001,2014-02-04,TDG,0.0419393912036321,0.0419393818181817
656794,662748,172.800003,173.990005,170.139999,173.449997,968400.0,120.258095,2014-02-05,TDG,0.008899395389884159,0.00889948242088745
656795,662749,173.490005,176.080002,171.759995,172.220001,798500.0,119.40529599999999,2014-02-06,TDG,-0.00709140619598203,-0.00709135786263515
656796,662750,173.169998,175.860001,170.800003,172.380005,512500.0,119.516228,2014-02-07,TDG,0.0009290375194077599,0.0009290674664437231
656797,662751,172.759995,174.320007,172.190002,173.889999,435700.0,120.56316399999999,2014-02-10,TDG,0.00875978114034859,0.008759681843610421
656798,662752,173.779999,174.300003,171.080002,173.28999299999998,347100.0,120.147171,2014-02-11,TDG,-0.00345041541875923,-0.0034504917099917897
656799,662753,173.699997,175.179993,173.21000700000002,175.059998,382100.0,121.374352,2014-02-12,TDG,0.010213981650887,0.0102141212504983
656800,662754,173.779999,175.559998,173.020004,174.570007,278800.0,121.03463,2014-02-13,TDG,-0.00279896036025795,-0.0027989889500627
656801,662755,174.449997,175.970001,172.570007,175.770004,212400.0,121.86663100000001,2014-02-14,TDG,0.0068740739737047606,0.0068740158783404705
656802,662756,176.100006,177.58999599999999,175.080002,175.899994,353800.0,121.95675700000001,2014-02-18,TDG,0.000739546168302629,0.000739545980780631
656803,662757,175.809998,178.380005,174.990005,176.580002,267000.0,122.42823,2014-02-19,TDG,0.0038659030593934897,0.0038658784718321702
656804,662758,176.690002,178.119995,175.429993,177.820007,184400.0,123.28796399999999,2014-02-20,TDG,0.00702235097248405,0.007022341068950721
656805,662759,178.020004,179.25,177.199997,178.490005,151600.0,123.75248,2014-02-21,TDG,0.0037677319417814795,0.00376784373875316
656806,662760,178.860001,180.830002,178.21000700000002,178.220001,204400.0,123.565285,2014-02-24,TDG,-0.0015126565544383301,-0.00151271215438642
656807,662761,178.33999599999999,179.91000400000001,176.070007,176.369995,194500.0,122.28261599999999,2014-02-25,TDG,-0.0103804964315017,-0.0103804622916595
656808,662762,176.479996,177.809998,176.050003,176.570007,167700.0,122.421295,2014-02-26,TDG,0.00113408597670173,0.0011340477726951
656809,662763,176.5,177.949997,175.429993,177.270004,117200.0,122.906609,2014-02-27,TDG,0.00396429395719111,0.00396441622160659
656810,662764,177.429993,178.979996,176.619995,178.139999,206500.0,123.50981100000001,2014-02-28,TDG,0.00490780768347454,0.0049077394955099295
656811,662765,177.690002,179.149994,176.600006,178.979996,177700.0,124.092216,2014-03-03,TDG,0.0047154553576314,0.0047153755737925395
656812,662766,180.0,182.809998,179.580002,182.580002,262900.0,126.588219,2014-03-04,TDG,0.0201140980510817,0.020114013188378996
656813,662767,182.550003,184.21000700000002,180.970001,181.149994,147800.0,125.596733,2014-03-05,TDG,-0.007832371826006929,-0.00783222688320495
656814,662768,181.729996,183.21000700000002,181.050003,182.559998,198200.0,126.574326,2014-03-06,TDG,0.007783586217963159,0.0077836270864022295
656815,662769,182.559998,184.199997,179.520004,180.630005,500800.0,125.23620600000001,2014-03-07,TDG,-0.0105718121698709,-0.0105718285557825
656816,662770,179.580002,180.270004,178.610001,179.850006,595800.0,124.695419,2014-03-10,TDG,-0.004318136242485671,-0.00431821390914544
656817,662771,179.770004,181.419998,179.360001,179.639999,459300.0,124.549805,2014-03-11,TDG,-0.00116775741376673,-0.0011676785821181901
656818,662772,180.100006,180.669998,178.03999299999998,180.440002,408200.0,125.104492,2014-03-12,TDG,0.00445353567594897,0.00445336787159523
656819,662773,180.380005,181.5,179.75,181.110001,416700.0,125.56901599999999,2014-03-13,TDG,0.0037130880959894705,0.00371314006081658
656820,662774,180.529999,182.46000700000002,179.059998,179.529999,848700.0,124.473549,2014-03-14,TDG,-0.00872402313003706,-0.00872399089656017
656821,662775,179.940002,181.970001,178.869995,181.5,222300.0,125.839409,2014-03-17,TDG,0.0109730943720421,0.0109731020496469
