Name,Influence Score,Followers,Average RT,Average likes,Average replies,Summ,Mentions,"Followers, %","Mentions, %","RT, %","Replies, %","Likes, %","Engagements, %",Engagement Score,Word Cloud
Ariana Grande,81,59744650,39303,227984,4420,271707,140600,"55,91%","100,00%","100,00%","66,93%","85,04%","88,42%",88,https://imgur.com/AOPaDpR
Demi Lovato,55,56986249,32815,268101,6370,307286,15300,"53,33%","10,88%","83,49%","96,46%","100,00%","100,00%",73,https://imgur.com/pkffvuT
Taylor Swift,52,83182794,25537,12217,617,38371,94300,"77,84%","67,07%","64,97%","9,34%","4,56%","12,49%",36,https://imgur.com/PeNEsjJ
Rihanna,44,88784049,7238,67264,1082,75584,32500,"83,09%","23,12%","18,42%","16,38%","25,09%","24,60%",21,https://imgur.com/tlS404H
Lady Gaga,43,77362793,5642,39615,1000,46257,57600,"72,40%","40,97%","14,36%","15,14%","14,78%","15,05%",21,https://imgur.com/ueeGaxD
Katy Perry,39,106859251,1591,11655,547,13793,15800,"100,00%","11,24%","4,05%","8,28%","4,35%","4,49%",7,https://imgur.com/Vthunc3
Selena Gomez,32,56915268,12728,62800,1618,77146,23400,"53,26%","16,64%","32,38%","24,50%","23,42%","25,11%",24,https://imgur.com/zYNwWLD
Ellen Degeneres,28,76760435,712,9207,312,10231,14100,"71,83%","10,03%","1,81%","4,72%","3,43%","3,33%",5,https://imgur.com/pIuVGSU
Kim Kardashian West,27,59143588,2316,35748,908,38972,19600,"55,35%","13,94%","5,89%","13,75%","13,33%","12,68%",12,https://imgur.com/xeYmQ6I
Hillary Clinton,27,23749523,9610,41560,6604,57774,54100,"22,23%","38,48%","24,45%","100,00%","15,50%","18,80%",45,https://imgur.com/PeG7e5p
Miley Ray Cyrus,24,40673327,6311,41953,357,48621,25600,"38,06%","18,21%","16,06%","5,41%","15,65%","15,82%",14,
Britney Spears,23,56444463,2852,20289,588,23729,11800,"52,82%","8,39%","7,26%","8,90%","7,57%","7,72%",8,
Cardi B,23,4421153,10479,62008,858,73345,56300,"4,14%","40,04%","26,66%","12,99%","23,13%","23,87%",26,
Emma Watson,22,28957359,10265,104579,976,115820,3700,"27,10%","2,63%","26,12%","14,78%","39,01%","37,69%",21,
Shakira,22,50800190,1392,12723,275,14390,18300,"47,54%","13,02%","3,54%","4,16%","4,75%","4,68%",6,
Adele,20,27964585,4761,40285,965,46011,25000,"26,17%","17,78%","12,11%","14,61%","15,03%","14,97%",15,
Ellen Degeneres,19,26997583,7457,78729,409,86595,5600,"25,26%","3,98%","18,97%","6,19%","29,37%","28,18%",15,
Priyanka Chopra,18,23914336,2706,54552,944,58202,17700,"22,38%","12,59%","6,88%","14,29%","20,35%","18,94%",14,
Mariah Carey,16,20482488,5475,44885,518,50878,19100,"19,17%","13,58%","13,93%","7,84%","16,74%","16,56%",13,
Oprah Winfrey,16,41785548,1135,7250,506,8891,9400,"39,10%","6,69%","2,89%","7,66%","2,70%","2,89%",5,
Anushka Sharma,14,18528354,1321,28842,537,30700,20200,"17,34%","14,37%","3,36%","8,13%","10,76%","9,99%",9,
Kylie Jenner,13,25875861,1297,32384,273,33954,6800,"24,21%","4,84%","3,30%","4,13%","12,08%","11,05%",6,
Nicki Minaj ,13,20510587,5044,27276,1306,33626,13300,"19,19%","9,46%","12,83%","19,78%","10,17%","10,94%",13,
Khloe Kardashian,10,23850544,627,12235,149,13011,6900,"22,32%","4,91%","1,60%","2,26%","4,56%","4,23%",3,
